                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8735,                  2.443,                 2.0661,                0.20111,                0.21893,                 0.1167,                0.04228,                 1.9174,                 2.6943,                 2.2838,                 0.0838,                 0.0018,                 0.0018
                      1,                  1.745,                 2.0225,                 1.9515,                0.34453,                0.33728,                0.29766,                0.12412,                 1.9044,                 2.1598,                 2.0588,               0.066663,              0.0036634,              0.0036634
                      2,                 1.6439,                 1.8699,                 1.8263,                0.37441,                0.33728,                0.31878,                0.14515,                 2.0425,                 2.1729,                 2.1448,               0.049489,              0.0054891,              0.0054891
                      3,                 1.6349,                 1.8359,                 1.7757,                0.31462,                0.30178,                0.24981,                0.08271,                   2.29,                 2.4219,                 2.2204,               0.032277,              0.0072772,              0.0072772
                      4,                 1.6238,                 1.7205,                 1.7505,                0.23417,                0.28406,                0.19468,                0.06312,                 2.3465,                 2.2909,                 2.2163,               0.015028,              0.0090278,              0.0090278
                      5,                 1.5189,                 1.7098,                 1.6818,                 0.3097,                0.31953,                0.24288,                0.09638,                 2.4407,                  2.347,                 2.3401,               0.009505,               0.009505,               0.009505
                      6,                 1.5318,                 1.6127,                 1.6648,                0.16244,                0.12426,                0.06372,                0.01726,                 2.7101,                 3.0963,                 2.5801,               0.009505,               0.009505,               0.009505
                      7,                 1.4973,                 1.5569,                 1.6451,                0.37695,                0.38462,                0.28923,                0.11096,                 2.2815,                 2.4295,                 2.2569,               0.009406,               0.009406,               0.009406
                      8,                 1.5097,                 1.5154,                 1.6453,                0.42031,                0.37278,                0.33619,                0.14606,                 2.0241,                 2.5548,                 2.0391,               0.009307,               0.009307,               0.009307
                      9,                 1.4669,                 1.4251,                 1.6152,                0.53062,                0.39645,                0.38531,                0.16057,                 2.1056,                 2.1441,                 2.1219,               0.009208,               0.009208,               0.009208
                     10,                   1.42,                 1.3756,                 1.5798,                0.49151,                 0.4497,                0.38323,                0.15737,                 2.1267,                 1.9654,                 2.1668,               0.009109,               0.009109,               0.009109
                     11,                 1.4094,                 1.3528,                 1.5727,                0.44063,                0.47929,                 0.3897,                0.17489,                  2.193,                  1.984,                 2.2107,                0.00901,                0.00901,                0.00901
                     12,                 1.3733,                 1.2917,                  1.546,                0.46764,                0.42012,                0.39379,                0.17835,                 2.0899,                 1.8914,                 2.0753,               0.008911,               0.008911,               0.008911
                     13,                 1.3561,                 1.2651,                 1.5315,                 0.4285,                0.40237,                0.33883,                0.15441,                 2.0834,                 2.0541,                 2.0941,               0.008812,               0.008812,               0.008812
                     14,                 1.3538,                 1.2488,                 1.5344,                0.44736,                0.49112,                0.38113,                0.16165,                 2.0108,                 1.9253,                 2.1174,               0.008713,               0.008713,               0.008713
                     15,                 1.2815,                 1.1802,                 1.4924,                0.49777,                 0.3167,                0.31584,                0.14136,                 2.2179,                 2.1627,                 2.2523,               0.008614,               0.008614,               0.008614
                     16,                 1.2741,                  1.177,                 1.4976,                0.49016,                0.43787,                0.41448,                0.17097,                  2.167,                 2.0194,                 2.1828,               0.008515,               0.008515,               0.008515
                     17,                 1.2642,                 1.1291,                 1.4633,                0.46189,                0.39645,                0.35739,                0.16261,                 2.1056,                 2.0058,                 2.1063,               0.008416,               0.008416,               0.008416
                     18,                 1.1979,                 1.0737,                 1.4284,                0.40572,                0.43226,                0.34055,                 0.1581,                 2.0861,                 2.2379,                 2.1465,               0.008317,               0.008317,               0.008317
                     19,                 1.2241,                 1.1178,                  1.456,                0.48335,                0.42012,                0.40019,                0.17067,                 2.1138,                 1.9645,                 2.1986,               0.008218,               0.008218,               0.008218
                     20,                  1.174,                 1.0404,                 1.4033,                0.51848,                0.28994,                0.29683,                0.10847,                 2.4257,                 2.4663,                 2.4407,               0.008119,               0.008119,               0.008119
                     21,                 1.1413,                  1.011,                  1.396,                0.39823,                0.34911,                 0.2908,                0.13708,                  2.206,                 2.3948,                 2.2762,                0.00802,                0.00802,                0.00802
                     22,                 1.1422,                  1.007,                  1.384,                0.49817,                0.39053,                0.38559,                0.17151,                 1.9725,                  1.909,                 2.0831,               0.007921,               0.007921,               0.007921
                     23,                 1.1062,                 0.9848,                 1.3645,                 0.5425,                0.42012,                0.38827,                0.16647,                 2.1289,                  1.988,                 2.1366,               0.007822,               0.007822,               0.007822
                     24,                 1.0728,                0.94102,                 1.3369,                0.51634,                 0.4497,                0.43386,                 0.2071,                 2.0096,                  1.806,                 2.1176,               0.007723,               0.007723,               0.007723
                     25,                 1.0459,                0.90338,                 1.3122,                0.54689,                0.43787,                0.39907,                0.18127,                 2.0633,                 1.8679,                 2.1277,               0.007624,               0.007624,               0.007624
                     26,                 1.0294,                0.88593,                 1.2952,                0.43424,                0.39513,                0.35824,                0.14913,                 2.1081,                 1.9467,                 2.1873,               0.007525,               0.007525,               0.007525
                     27,                 1.0316,                0.89357,                 1.3124,                0.54332,                0.47337,                0.45107,                0.20915,                 2.0422,                 1.7903,                 2.1067,               0.007426,               0.007426,               0.007426
                     28,                0.99492,                0.84393,                 1.2777,                0.57288,                0.47337,                0.45344,                0.20059,                 2.0692,                 1.7551,                 2.1393,               0.007327,               0.007327,               0.007327
                     29,                 1.0129,                0.85107,                 1.2897,                0.56396,                0.39053,                0.44528,                0.19993,                 2.0625,                 1.7979,                  2.123,               0.007228,               0.007228,               0.007228
                     30,                0.97786,                0.83401,                 1.2741,                 0.5323,                0.43195,                0.45682,                0.23609,                 2.0198,                 1.7887,                 2.0772,               0.007129,               0.007129,               0.007129
                     31,                0.94934,                0.79269,                  1.253,                 0.5054,                0.47337,                0.42948,                0.18394,                 2.1934,                 1.8909,                 2.2444,                0.00703,                0.00703,                0.00703
                     32,                0.93681,                0.78102,                 1.2398,                 0.6581,                0.39053,                0.42778,                0.20544,                 2.1378,                 1.8494,                 2.2268,               0.006931,               0.006931,               0.006931
                     33,                0.93185,                0.76899,                   1.23,                0.29035,                0.29586,                 0.1754,                0.06153,                 2.5983,                 2.5183,                 2.5687,               0.006832,               0.006832,               0.006832
                     34,                0.88803,                0.73982,                 1.2139,                0.48437,                0.38909,                0.38572,                0.16022,                 2.2864,                  1.949,                 2.3687,               0.006733,               0.006733,               0.006733
                     35,                0.88306,                0.74039,                 1.2144,                0.47717,                0.48521,                0.42907,                0.18837,                 2.1025,                 1.9045,                 2.1708,               0.006634,               0.006634,               0.006634
                     36,                0.87652,                0.74677,                 1.2077,                0.50538,                0.44379,                0.46324,                0.20154,                 2.1838,                 1.8198,                 2.2737,               0.006535,               0.006535,               0.006535
                     37,                0.87812,                 0.7191,                 1.1995,                0.65063,                0.47384,                 0.5088,                0.24936,                 2.0445,                 1.7143,                 2.1103,               0.006436,               0.006436,               0.006436
                     38,                0.84071,                0.69906,                   1.18,                0.50286,                0.43787,                0.43462,                0.21494,                 2.0917,                   1.81,                 2.2044,               0.006337,               0.006337,               0.006337
                     39,                0.81605,                0.67432,                 1.1535,                0.62058,                0.33728,                0.40546,                0.19796,                 2.1555,                  1.798,                 2.2666,               0.006238,               0.006238,               0.006238
                     40,                0.81344,                 0.6771,                 1.1717,                0.55583,                0.36686,                0.38398,                0.18748,                 2.1131,                 1.9284,                 2.2555,               0.006139,               0.006139,               0.006139
                     41,                0.80667,                 0.6705,                 1.1639,                0.59284,                 0.3432,                0.36458,                0.16946,                 2.2248,                 1.9948,                 2.3559,                0.00604,                0.00604,                0.00604
                     42,                0.80813,                0.68044,                 1.1721,                 0.4131,                0.23669,                0.18244,                0.08037,                 2.4147,                  2.742,                 2.5015,               0.005941,               0.005941,               0.005941
                     43,                0.80861,                0.67149,                 1.1589,                0.52978,                 0.3787,                0.39816,                0.17797,                  2.243,                 2.1223,                  2.365,               0.005842,               0.005842,               0.005842
                     44,                0.79385,                0.67309,                 1.1568,                0.53163,                0.44379,                 0.4284,                0.18944,                 2.2188,                 2.0644,                 2.3732,               0.005743,               0.005743,               0.005743
                     45,                0.75486,                0.62447,                 1.1237,                0.40846,                0.47929,                0.41951,                0.20845,                 2.0777,                 1.9108,                 2.1881,               0.005644,               0.005644,               0.005644
                     46,                0.75288,                0.62445,                 1.1204,                0.50363,                 0.4142,                0.40514,                0.19268,                 2.0447,                 2.0406,                 2.1976,               0.005545,               0.005545,               0.005545
                     47,                0.75675,                0.60765,                  1.115,                0.47401,                0.50296,                 0.4248,                 0.2115,                 2.0642,                 1.8995,                 2.2239,               0.005446,               0.005446,               0.005446
                     48,                0.73947,                0.61046,                 1.1118,                0.48583,                 0.3787,                0.31993,                0.15027,                 2.2014,                 2.2821,                 2.3327,               0.005347,               0.005347,               0.005347
                     49,                0.70724,                0.59176,                 1.1057,                0.49452,                0.39053,                0.36175,                0.17403,                   2.16,                 2.0953,                 2.2799,               0.005248,               0.005248,               0.005248
                     50,                0.72141,                 0.5924,                 1.1167,                0.63237,                0.42012,                0.43917,                0.21053,                 2.1734,                 1.7717,                 2.3428,               0.005149,               0.005149,               0.005149
                     51,                0.68165,                0.56109,                  1.085,                0.48501,                0.48521,                0.41714,                0.20294,                 2.1622,                 1.8248,                 2.3342,                0.00505,                0.00505,                0.00505
                     52,                0.69114,                0.56247,                  1.095,                 0.4242,                0.37278,                 0.3486,                0.16123,                 2.2269,                  2.083,                 2.3592,               0.004951,               0.004951,               0.004951
                     53,                0.68055,                0.55752,                 1.0855,                0.42036,                 0.3787,                0.30157,                0.13333,                 2.2943,                  2.513,                 2.3963,               0.004852,               0.004852,               0.004852
                     54,                0.68984,                0.56223,                  1.086,                0.37404,                0.40307,                0.31456,                0.15025,                 2.2746,                 2.3417,                 2.4193,               0.004753,               0.004753,               0.004753
                     55,                0.67361,                0.56136,                 1.0709,                0.39074,                0.47337,                0.36466,                0.16278,                 2.1985,                 2.0727,                 2.3148,               0.004654,               0.004654,               0.004654
                     56,                0.66858,                0.54985,                 1.0664,                0.42082,                0.52663,                0.42068,                  0.209,                 2.0926,                 1.8434,                 2.2495,               0.004555,               0.004555,               0.004555
                     57,                0.65455,                0.54841,                 1.0785,                0.53251,                0.47929,                0.45801,                0.21477,                 2.1408,                 1.9349,                 2.3168,               0.004456,               0.004456,               0.004456
                     58,                0.66869,                 0.5342,                 1.0728,                0.50424,                0.48521,                0.43745,                0.20248,                 2.1561,                 1.9603,                 2.3112,               0.004357,               0.004357,               0.004357
                     59,                0.65563,                0.54274,                 1.0607,                0.60645,                 0.3432,                0.36905,                0.16813,                 2.1896,                  2.104,                 2.2862,               0.004258,               0.004258,               0.004258
                     60,                0.63361,                0.51176,                  1.054,                 0.5234,                0.43787,                0.43773,                0.21408,                 2.1705,                 1.9066,                 2.3407,               0.004159,               0.004159,               0.004159
                     61,                0.64311,                0.51864,                 1.0557,                0.47796,                0.43195,                0.39408,                0.18773,                 2.1536,                 2.0698,                 2.3466,                0.00406,                0.00406,                0.00406
                     62,                0.62272,                 0.5107,                 1.0465,                0.53141,                 0.4142,                0.40504,                0.20478,                 2.1196,                 1.9732,                  2.262,               0.003961,               0.003961,               0.003961
                     63,                0.63395,                0.51364,                 1.0592,                0.57463,                0.43195,                0.43283,                0.21307,                 2.1133,                 2.1542,                 2.2514,               0.003862,               0.003862,               0.003862
                     64,                0.62016,                0.49695,                 1.0545,                0.54441,                0.37278,                0.35033,                0.16848,                 2.1593,                 2.2894,                 2.2872,               0.003763,               0.003763,               0.003763
                     65,                0.61219,                0.48399,                 1.0356,                0.51832,                0.39053,                0.40836,                0.20587,                 2.1179,                 1.9326,                  2.315,               0.003664,               0.003664,               0.003664
                     66,                0.60064,                 0.4887,                 1.0334,                0.45259,                0.42012,                0.39615,                0.19518,                 2.1004,                 1.9318,                 2.3407,               0.003565,               0.003565,               0.003565
                     67,                0.58294,                0.48881,                 1.0362,                 0.5168,                0.34911,                0.33627,                0.16384,                 2.1609,                 2.2604,                 2.3422,               0.003466,               0.003466,               0.003466
                     68,                0.57981,                0.47251,                 1.0304,                0.46658,                 0.4142,                0.38703,                0.19506,                 2.1081,                 2.0679,                  2.294,               0.003367,               0.003367,               0.003367
                     69,                0.59747,                0.47742,                 1.0374,                0.45854,                0.43787,                0.41452,                0.20318,                 2.1164,                 2.0397,                  2.313,               0.003268,               0.003268,               0.003268
